id,name,query
20785f17-21aa-4849-9824-cecddfc59fee,"Buhera Rdc-garamwera RHC","Garamwera Rhcmurambinda P.bag 2002, Buhera, Harare"
cb7d8b44-a112-44a0-a389-e7e390554bc9,"Buhera Rdc-gombe RHC","Gombe Rhcmurambinda P.bag 2002, Buhera, Harare"
9be9788a-a913-4d48-9c9b-ec87a1fad3d0,"Buhera Rdc-gunura RHC","Gunura Rhcmurambinda P.bag 2002, Buhera, Harare"
a0888436-13a8-4004-ab15-34d7d64b454a,"Buhera Rdc-mudanda RHC","Mudanda Rhcmurambinda P.bag 2002, Buhera, Harare"
2a84e1b0-e20a-4e50-946a-6a9ae7bfa1ce,"Buhera Rdc-mudawose RHC","Mudawose Rhcmurambinda P.bag 2002, Buhera, Harare"
728696e9-8bb4-48e0-8200-73192fff5510,"Buhera Rdc-mutepfe RHC","Mutepfe Rhcmurambinda P.bag 2002, Buhera, Harare"
666c2697-584b-43af-b0c4-b372d8f76357,"Buhera Rdc-mutiusinazita RHC","Mutiusinazita Rhcmurambinda P.bag 2002, Buhera, Harare"
0104b9cd-3923-4c01-ac74-34b2e7b7034c,"Buhera Rdc-muunyanyi Clinic","Muunyanyi Clinic Murambinda P.bag 2002, Buhera, Harare"
eefaab15-992d-4188-8632-273ade15289c,"Buhera Rdc-muzokomba Rural Health Centre","Muzokomba Clinic P.bag 2002 Murambinda, Buhera, Harare"
450b4b06-ddeb-43b8-954f-2859758c3e5e,"Buhera Rdc-rambanapasi RHC","Rambanapasi Rhcmurambinda P.bag 2002, Buhera, Harare"
bc6d9959-5c5b-4b98-b4ba-3416496f93ce,"Sabi Star Mine Clinic","Mukwasi Village, Buhera, Harare"
e4527a14-dce4-406c-997d-581e2ba27d1b,"Ysabell Pharmacy","3181 Murambinda Growth Point, Buhera, Harare"
c1fc3688-0d8b-4185-9baf-fb82d1416f9b,"24 Hour Emergency Polyclinic","52 A Cnr Robert Mugabe Way & 4th Avenue, Bulawayo, Bulawayo"
3fce5c0f-d506-4028-95a5-bfdff383beed,"24 Hr Medical Centre","1120 Nketa 6, Bulawayo, Bulawayo"
3096759c-9641-4002-9336-a1b90f4ee646,"3rd Avenue Pharmacy","49 Doolabh Building 3rd Avenue & Lobengula Street, Bulawayo, Bulawayo"
